Frame,PointIndex,X,Y,Z
3,30,6,-3,0
3,31,7,-3,0
3,32,0,-4,0
3,33,1,-4,0
3,34,2,-4,0
3,35,3,-4,0
3,36,4,-4,0
3,37,5,-4,0
3,38,6,-4,0
3,39,7,-4,0
3,40,0,-5,0
3,41,1,-5,0
3,42,2,-5,0
3,43,3,-5,0
3,44,4,-5,0
3,45,5,-5,0
3,46,6,-5,0
3,47,7,-5,0
4,0,0,0,0
4,1,1,0,0
4,2,2,0,0
4,3,3,0,0
4,4,4,0,0
4,5,5,0,0
4,6,6,0,0
4,7,7,0,0
4,8,0,-1,0
4,9,1,-1,0
4,10,2,-1,0
4,11,3,-1,0
4,12,4,-1,0
4,13,5,-1,0
4,14,6,-1,0
4,15,7,-1,0
4,16,0,-2,0
4,17,1,-2,0
4,18,2,-2,0
4,19,3,-2,0
4,20,4,-2,0
4,21,5,-2,0
4,22,6,-2,0
4,23,7,-2,0
4,24,0,-3,0
4,25,1,-3,0
4,26,2,-3,0
4,27,3,-3,0
4,28,4,-3,0
4,29,5,-3,0
4,30,6,-3,0
4,31,7,-3,0
4,32,0,-4,0
4,33,1,-4,0
4,34,2,-4,0
4,35,3,-4,0
4,36,4,-4,0
4,37,5,-4,0
4,38,6,-4,0
4,39,7,-4,0
4,40,0,-5,0
4,41,1,-5,0
4,42,2,-5,0
4,43,3,-5,0
4,44,4,-5,0
4,45,5,-5,0
4,46,6,-5,0
4,47,7,-5,0
5,0,0,0,0
5,1,1,0,0
5,2,2,0,0
5,3,3,0,0
5,4,4,0,0
5,5,5,0,0
5,6,6,0,0
5,7,7,0,0
5,8,0,-1,0
5,9,1,-1,0
5,10,2,-1,0
5,11,3,-1,0
5,12,4,-1,0
5,13,5,-1,0
5,14,6,-1,0
5,15,7,-1,0
5,16,0,-2,0
5,17,1,-2,0
5,18,2,-2,0
5,19,3,-2,0
5,20,4,-2,0
5,21,5,-2,0
5,22,6,-2,0
5,23,7,-2,0
5,24,0,-3,0
5,25,1,-3,0
5,26,2,-3,0
5,27,3,-3,0
5,28,4,-3,0
5,29,5,-3,0
5,30,6,-3,0
5,31,7,-3,0
5,32,0,-4,0
5,33,1,-4,0
5,34,2,-4,0
5,35,3,-4,0
5,36,4,-4,0
5,37,5,-4,0
5,38,6,-4,0
5,39,7,-4,0
5,40,0,-5,0
5,41,1,-5,0
5,42,2,-5,0
5,43,3,-5,0
5,44,4,-5,0
5,45,5,-5,0
5,46,6,-5,0
5,47,7,-5,0
6,0,0,0,0
6,1,1,0,0
6,2,2,0,0
6,3,3,0,0
6,4,4,0,0
6,5,5,0,0
6,6,6,0,0
6,7,7,0,0
6,8,0,-1,0
6,9,1,-1,0
6,10,2,-1,0
6,11,3,-1,0
6,12,4,-1,0
6,13,5,-1,0
6,14,6,-1,0
6,15,7,-1,0
6,16,0,-2,0
6,17,1,-2,0
6,18,2,-2,0
6,19,3,-2,0
6,20,4,-2,0
6,21,5,-2,0
6,22,6,-2,0
6,23,7,-2,0
6,24,0,-3,0
6,25,1,-3,0
6,26,2,-3,0
6,27,3,-3,0
6,28,4,-3,0
6,29,5,-3,0
6,30,6,-3,0
6,31,7,-3,0
6,32,0,-4,0
6,33,1,-4,0
6,34,2,-4,0
6,35,3,-4,0
6,36,4,-4,0
6,37,5,-4,0
6,38,6,-4,0
6,39,7,-4,0
6,40,0,-5,0
6,41,1,-5,0
6,42,2,-5,0
6,43,3,-5,0
6,44,4,-5,0
6,45,5,-5,0
6,46,6,-5,0
6,47,7,-5,0
7,0,0,0,0
7,1,1,0,0
7,2,2,0,0
7,3,3,0,0
7,4,4,0,0
7,5,5,0,0
7,6,6,0,0
7,7,7,0,0
7,8,0,-1,0
7,9,1,-1,0
7,10,2,-1,0
7,11,3,-1,0
7,12,4,-1,0
7,13,5,-1,0
7,14,6,-1,0
7,15,7,-1,0
7,16,0,-2,0
7,17,1,-2,0
7,18,2,-2,0
7,19,3,-2,0
7,20,4,-2,0
7,21,5,-2,0
7,22,6,-2,0
7,23,7,-2,0
7,24,0,-3,0
7,25,1,-3,0
7,26,2,-3,0
7,27,3,-3,0
7,28,4,-3,0
7,29,5,-3,0
7,30,6,-3,0
7,31,7,-3,0
7,32,0,-4,0
7,33,1,-4,0
7,34,2,-4,0
7,35,3,-4,0
7,36,4,-4,0
7,37,5,-4,0
7,38,6,-4,0
7,39,7,-4,0
7,40,0,-5,0
7,41,1,-5,0
7,42,2,-5,0
7,43,3,-5,0
7,44,4,-5,0
7,45,5,-5,0
7,46,6,-5,0
7,47,7,-5,0
8,0,0,0,0
8,1,1,0,0
8,2,2,0,0
8,3,3,0,0
8,4,4,0,0
8,5,5,0,0
8,6,6,0,0
8,7,7,0,0
8,8,0,-1,0
8,9,1,-1,0
8,10,2,-1,0
8,11,3,-1,0
8,12,4,-1,0
8,13,5,-1,0
8,14,6,-1,0
8,15,7,-1,0
8,16,0,-2,0
8,17,1,-2,0
8,18,2,-2,0
8,19,3,-2,0
8,20,4,-2,0
8,21,5,-2,0
8,22,6,-2,0
8,23,7,-2,0
8,24,0,-3,0
8,25,1,-3,0
8,26,2,-3,0
8,27,3,-3,0
8,28,4,-3,0
8,29,5,-3,0
8,30,6,-3,0
8,31,7,-3,0
8,32,0,-4,0
8,33,1,-4,0
8,34,2,-4,0
8,35,3,-4,0
8,36,4,-4,0
8,37,5,-4,0
8,38,6,-4,0
8,39,7,-4,0
8,40,0,-5,0
8,41,1,-5,0
8,42,2,-5,0
8,43,3,-5,0
8,44,4,-5,0
8,45,5,-5,0
8,46,6,-5,0
8,47,7,-5,0
9,0,0,0,0
9,1,1,0,0
9,2,2,0,0
9,3,3,0,0
9,4,4,0,0
9,5,5,0,0
9,6,6,0,0
9,7,7,0,0
9,8,0,-1,0
9,9,1,-1,0
9,10,2,-1,0
9,11,3,-1,0
9,12,4,-1,0
9,13,5,-1,0
9,14,6,-1,0
9,15,7,-1,0
9,16,0,-2,0
9,17,1,-2,0
9,18,2,-2,0
9,19,3,-2,0
9,20,4,-2,0
9,21,5,-2,0
9,22,6,-2,0
9,23,7,-2,0
9,24,0,-3,0
9,25,1,-3,0
9,26,2,-3,0
9,27,3,-3,0
9,28,4,-3,0
9,29,5,-3,0
9,30,6,-3,0
9,31,7,-3,0
9,32,0,-4,0
9,33,1,-4,0
9,34,2,-4,0
9,35,3,-4,0
9,36,4,-4,0
9,37,5,-4,0
9,38,6,-4,0
9,39,7,-4,0
9,40,0,-5,0
9,41,1,-5,0
9,42,2,-5,0
9,43,3,-5,0
9,44,4,-5,0
9,45,5,-5,0
9,46,6,-5,0
9,47,7,-5,0
10,0,0,0,0
10,1,1,0,0
10,2,2,0,0
10,3,3,0,0
10,4,4,0,0
10,5,5,0,0
10,6,6,0,0
10,7,7,0,0
10,8,0,-1,0
10,9,1,-1,0
10,10,2,-1,0
10,11,3,-1,0
10,12,4,-1,0
10,13,5,-1,0
10,14,6,-1,0
10,15,7,-1,0
10,16,0,-2,0
10,17,1,-2,0
10,18,2,-2,0
10,19,3,-2,0
10,20,4,-2,0
10,21,5,-2,0
10,22,6,-2,0
10,23,7,-2,0
10,24,0,-3,0
10,25,1,-3,0
10,26,2,-3,0
10,27,3,-3,0
10,28,4,-3,0
10,29,5,-3,0
10,30,6,-3,0
10,31,7,-3,0
10,32,0,-4,0
10,33,1,-4,0
10,34,2,-4,0
10,35,3,-4,0
10,36,4,-4,0
10,37,5,-4,0
10,38,6,-4,0
10,39,7,-4,0
10,40,0,-5,0
10,41,1,-5,0
10,42,2,-5,0
10,43,3,-5,0
10,44,4,-5,0
10,45,5,-5,0
10,46,6,-5,0
10,47,7,-5,0
